,Step,Average_Reward
0,8192.0,0.625
1,16384.0,0.625
2,24576.0,0.9375
3,32768.0,1.25
4,40960.0,0.625
5,49152.0,1.5625
6,57344.0,1.5625
7,65536.0,0.3125
8,73728.0,0.9375
9,81920.0,1.875
10,90112.0,1.25
11,98304.0,1.25
12,106496.0,1.25
13,114688.0,2.1875
14,122880.0,0.9375
15,131072.0,1.5625
16,139264.0,0.625
17,147456.0,0.3125
18,155648.0,1.875
19,163840.0,0.9375
20,172032.0,0.9375
21,180224.0,1.5625
22,188416.0,0.3125
23,196608.0,2.5
24,204800.0,1.25
25,212992.0,2.1875
26,221184.0,1.5625
27,229376.0,0.9375
28,237568.0,1.25
29,245760.0,0.9375
30,253952.0,2.8125
31,262144.0,1.875
32,270336.0,2.8125
33,278528.0,1.25
34,286720.0,1.5625
35,294912.0,1.5625
36,303104.0,1.875
37,311296.0,1.25
38,319488.0,1.875
39,327680.0,2.1875
40,335872.0,1.25
41,344064.0,2.8125
42,352256.0,1.5625
43,360448.0,2.8125
44,368640.0,2.1875
45,376832.0,2.5
46,385024.0,1.5625
47,393216.0,2.8125
48,401408.0,2.8125
49,409600.0,1.25
50,417792.0,2.8125
51,425984.0,1.5625
52,434176.0,1.875
53,442368.0,2.1875
54,450560.0,3.125
55,458752.0,2.8125
56,466944.0,1.5625
57,475136.0,1.25
58,483328.0,1.25
59,491520.0,2.1875
60,499712.0,3.75
61,507904.0,2.5
62,516096.0,2.5
63,524288.0,3.125
64,532480.0,3.4375
65,540672.0,2.1875
66,548864.0,1.875
67,557056.0,3.75
68,565248.0,1.25
69,573440.0,1.5625
70,581632.0,2.5
71,589824.0,3.4375
72,598016.0,3.75
73,606208.0,3.4375
74,614400.0,2.5
75,622592.0,2.8125
76,630784.0,1.875
77,638976.0,1.875
78,647168.0,5.3125
79,655360.0,2.1875
80,663552.0,4.375
81,671744.0,2.8125
82,679936.0,1.875
83,688128.0,2.8125
84,696320.0,3.4375
85,704512.0,3.4375
86,712704.0,3.125
87,720896.0,3.4375
88,729088.0,1.25
89,737280.0,4.375
90,745472.0,1.25
91,753664.0,5.0
