Run name,Average_Reward,Step
500_model_deep_value_autoeval_91,19.60163688659668,6004736
500_model_deep_value_autoeval_91,17.649696350097656,6053888
500_model_deep_value_autoeval_91,14.335576057434082,6103040
500_model_deep_value_autoeval_91,17.082170486450195,6152192
500_model_deep_value_autoeval_91,16.526592254638672,6201344
500_model_deep_value_autoeval_91,22.559701919555664,6258688
500_model_deep_value_autoeval_91,16.21014404296875,6307840
500_model_deep_value_autoeval_91,19.76280975341797,6356992
500_model_deep_value_autoeval_91,19.466989517211914,6406144
500_model_deep_value_autoeval_91,17.25689697265625,6455296
500_model_deep_value_autoeval_91,19.42691802978516,6504448
500_model_deep_value_autoeval_91,19.405517578125,6553600
500_model_deep_value_autoeval_91,17.751949310302734,6602752
500_model_deep_value_autoeval_91,18.006969451904297,6651904
500_model_deep_value_autoeval_91,16.632850646972653,6701056
500_model_deep_value_autoeval_91,17.984819412231445,6758400
500_model_deep_value_autoeval_91,16.347919464111328,6807552
500_model_deep_value_autoeval_91,14.980234146118164,6856704
500_model_deep_value_autoeval_91,18.5150146484375,6905856
500_model_deep_value_autoeval_91,19.311317443847656,6955008
500_model_deep_value_autoeval_91,15.76531219482422,7004160
500_model_deep_value_autoeval_91,18.74212074279785,7053312
500_model_deep_value_autoeval_91,15.47754955291748,7102464
500_model_deep_value_autoeval_91,18.183368682861328,7151616
500_model_deep_value_autoeval_91,15.735973358154295,7208960
500_model_deep_value_autoeval_91,19.248554229736328,7258112
500_model_deep_value_autoeval_91,16.527793884277347,7307264
500_model_deep_value_autoeval_91,16.255670547485348,7356416
500_model_deep_value_autoeval_91,18.410659790039066,7405568
500_model_deep_value_autoeval_91,17.31607437133789,7454720
500_model_deep_value_autoeval_91,19.19309425354004,7503872
500_model_deep_value_autoeval_91,17.56165885925293,7553024
500_model_deep_value_autoeval_91,15.123292922973633,7602176
500_model_deep_value_autoeval_91,18.354198455810547,7651328
500_model_deep_value_autoeval_91,18.077146530151367,7708672
500_model_deep_value_autoeval_91,18.064851760864254,7757824
500_model_deep_value_autoeval_91,19.934717178344727,7806976
500_model_deep_value_autoeval_91,16.961181640625,7856128
500_model_deep_value_autoeval_91,17.48954200744629,7905280
500_model_deep_value_autoeval_91,21.50558090209961,7954432
500_model_deep_value_autoeval_91,16.653570175170902,8003584
500_model_deep_value_autoeval_91,16.914981842041016,8052736
500_model_deep_value_autoeval_91,16.911506652832028,8101888
500_model_deep_value_autoeval_91,17.975746154785156,8151040
500_model_deep_value_autoeval_91,15.82160758972168,8208384
500_model_deep_value_autoeval_91,18.499393463134766,8257536
500_model_deep_value_autoeval_91,20.09068489074707,8306688
500_model_deep_value_autoeval_91,15.797014236450195,8355840
500_model_deep_value_autoeval_91,19.270103454589844,8404992
500_model_deep_value_autoeval_91,16.04762840270996,8454144
500_model_deep_value_autoeval_91,19.24968719482422,8503296
500_model_deep_value_autoeval_91,17.900474548339844,8552448
500_model_deep_value_autoeval_91,19.48956298828125,8601600
500_model_deep_value_autoeval_91,16.813846588134766,8658944
