,Step,Average_Reward
0,2048.0,0.0
1,4096.0,0.3125
2,6144.0,0.0
3,8192.0,0.3125
4,10240.0,0.0
5,12288.0,0.625
6,14336.0,0.625
7,16384.0,0.0
8,18432.0,0.3125
9,20480.0,0.0
10,22528.0,0.0
11,24576.0,0.3125
12,26624.0,0.0
13,28672.0,0.3125
14,30720.0,0.0
15,32768.0,0.3125
16,34816.0,0.0
17,36864.0,0.625
18,38912.0,0.3125
19,40960.0,0.0
20,43008.0,0.0
21,45056.0,0.3125
22,47104.0,0.625
23,49152.0,0.3125
24,51200.0,0.625
25,53248.0,0.3125
26,55296.0,0.0
27,57344.0,0.625
28,59392.0,0.3125
29,61440.0,0.625
30,63488.0,0.0
31,65536.0,0.3125
32,67584.0,0.3125
33,69632.0,0.0
34,71680.0,0.0
35,73728.0,0.0
36,75776.0,0.0
37,77824.0,0.625
38,79872.0,0.3125
39,81920.0,0.9375
40,83968.0,0.0
41,86016.0,0.9375
42,88064.0,0.0
43,90112.0,0.3125
44,92160.0,0.3125
45,94208.0,0.9375
46,96256.0,0.625
47,98304.0,0.3125
48,100352.0,1.25
49,102400.0,0.3125
50,104448.0,0.0
51,106496.0,0.9375
52,108544.0,0.3125
53,110592.0,1.25
54,112640.0,0.9375
55,114688.0,1.5625
56,116736.0,0.9375
57,118784.0,0.625
58,120832.0,0.625
59,122880.0,0.0
60,124928.0,0.625
61,126976.0,0.9375
62,129024.0,1.875
63,131072.0,1.25
64,133120.0,0.3125
65,135168.0,1.5625
66,137216.0,2.8125
67,139264.0,1.25
68,141312.0,1.875
69,143360.0,1.875
70,145408.0,0.3125
71,147456.0,1.5625
72,149504.0,1.25
73,151552.0,1.5625
74,153600.0,0.9375
75,155648.0,0.9375
76,157696.0,2.1875
77,159744.0,0.9375
78,161792.0,1.5625
79,163840.0,1.5625
80,165888.0,0.9375
81,167936.0,2.8125
82,169984.0,1.5625
83,172032.0,2.1875
84,174080.0,1.875
85,176128.0,2.5
86,178176.0,1.25
87,180224.0,2.8125
88,182272.0,2.5
89,184320.0,1.875
90,186368.0,2.8125
