Running script
Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 2375680	Mean reward: 20.125
Step: 2392064	Mean reward: 19.0
Step: 2408448	Mean reward: 20.296875
Step: 2424832	Mean reward: 19.640625
Step: 2441216	Mean reward: 20.015625
Step: 2457600	Mean reward: 20.5
Step: 2473984	Mean reward: 20.015625
Step: 2490368	Mean reward: 19.71875
Step: 2506752	Mean reward: 20.21875
Step: 2523136	Mean reward: 21.140625
Step: 2539520	Mean reward: 20.515625
Step: 2555904	Mean reward: 20.859375
Step: 2572288	Mean reward: 19.578125
Step: 2588672	Mean reward: 19.796875
Step: 2605056	Mean reward: 20.46875
Step: 2621440	Mean reward: 20.65625
Step: 2637824	Mean reward: 20.859375
Step: 2654208	Mean reward: 20.25
Step: 2670592	Mean reward: 20.9375
Step: 2686976	Mean reward: 20.671875
Step: 2703360	Mean reward: 20.796875
Step: 2719744	Mean reward: 19.828125
Step: 2736128	Mean reward: 20.171875
Step: 2752512	Mean reward: 20.765625
Step: 2768896	Mean reward: 20.75
Step: 2785280	Mean reward: 20.65625
Step: 2801664	Mean reward: 21.46875
Step: 2818048	Mean reward: 21.015625
Step: 2834432	Mean reward: 20.6875
Step: 2850816	Mean reward: 21.3125
Step: 2867200	Mean reward: 20.046875
Step: 2883584	Mean reward: 20.59375
Step: 2899968	Mean reward: 21.328125
Step: 2916352	Mean reward: 20.359375
Step: 2932736	Mean reward: 20.921875
Step: 2949120	Mean reward: 20.265625
Step: 2965504	Mean reward: 20.328125
Step: 2981888	Mean reward: 20.546875
Step: 2998272	Mean reward: 20.34375
Step: 3014656	Mean reward: 20.640625
Step: 3031040	Mean reward: 21.765625
Step: 3047424	Mean reward: 20.4375
Step: 3063808	Mean reward: 20.6875
Step: 3080192	Mean reward: 20.953125
Step: 3096576	Mean reward: 20.3125
Step: 3112960	Mean reward: 20.078125
Step: 3129344	Mean reward: 20.515625
Step: 3145728	Mean reward: 21.109375
Step: 3162112	Mean reward: 21.34375
Step: 3178496	Mean reward: 20.796875
Step: 3194880	Mean reward: 20.0625
Step: 3211264	Mean reward: 20.875
Step: 3227648	Mean reward: 21.046875
Step: 3244032	Mean reward: 21.515625
Step: 3260416	Mean reward: 20.640625
Step: 3276800	Mean reward: 21.078125
Step: 3293184	Mean reward: 21.828125
Step: 3309568	Mean reward: 20.109375
Step: 3325952	Mean reward: 22.03125
Step: 3342336	Mean reward: 22.03125
Step: 3358720	Mean reward: 21.4375
Step: 3375104	Mean reward: 21.9375
Step: 3391488	Mean reward: 21.8125
Step: 3407872	Mean reward: 21.203125
Step: 3424256	Mean reward: 21.171875
Step: 3440640	Mean reward: 21.640625
Step: 3457024	Mean reward: 21.359375
Step: 3473408	Mean reward: 21.6875
Step: 3489792	Mean reward: 21.484375
Step: 3506176	Mean reward: 21.546875
Step: 3522560	Mean reward: 20.53125
Step: 3538944	Mean reward: 21.28125
Step: 3555328	Mean reward: 20.8125
Step: 3571712	Mean reward: 21.609375
Step: 3588096	Mean reward: 20.4375
Step: 3604480	Mean reward: 22.34375
Step: 3620864	Mean reward: 21.765625
Step: 3637248	Mean reward: 22.078125
